RNK,"PLAYER, TEAM POS",  FG%,  FT%,  3PM,  REB,  AST,  STL,  BLK,  PTS
61,"Caron Butler, Mil SF  DTDBreaking News",0.421,0.818,1.8,3.8,1.3,0.9,0.2,15.4
62,"Brandon Knight, Mil PG  DTDBreaking News",0.406,0.74,1.9,3.7,5.1,1,0.1,15.1
63,"Nikola Pekovic, Min C  DTDBreaking News",0.527,0.746,0,8,0.8,0.7,0.8,15
64,"Victor Oladipo, Orl SG, PG",0.479,0.75,1.1,4.9,3.7,1.8,0.7,14.9
65,"David West, Ind PFRecent News",0.504,0.777,0,7.1,2.5,0.9,0.8,14.9
66,"Nick Young, LAL SGRecent News",0.415,0.831,1.7,2.7,1.5,0.8,0.3,14.9
67,"Anthony Davis, Nor C, PF",0.516,0.751,0,9,1.1,1.3,1.9,14.9
68,"Wesley Matthews, Por SG, SF  DTDBreaking News",0.433,0.821,2.3,3,2.2,1.3,0.2,14.9
69,"Andrea Bargnani, NY PFRecent News",0.421,0.845,1.7,4.9,1.4,0.6,0.6,14.8
70,"Nicolas Batum, Por SF, SGBreaking News",0.434,0.849,2.3,5.5,4.8,1.2,1.1,14.7
71,"Rajon Rondo*, Bos PG  ORecent News",0.452,0.612,0.3,4.7,9.8,1.6,0.2,14.7
72,"Greg Monroe, Det PF, CBreaking News",0.511,0.692,0,9.1,2.8,1.2,0.6,14.7
73,"Amar'e Stoudemire, NY PFBreaking News",0.558,0.787,0.1,5.3,1,0.5,0.9,14.6
74,"Kevin Garnett, Bkn PFBreaking News",0.501,0.818,0,7.5,2.4,1,0.9,14.5
75,"Wilson Chandler, Den SF, SG  DTDBreaking News",0.454,0.797,1.4,5.7,1.6,1,0.6,14.5
76,"Carlos Boozer, Chi PFBreaking News",0.502,0.717,0,9.1,2.2,0.9,0.4,14.5
77,"Gerald Henderson, Cha SGBreaking News",0.451,0.811,1.1,3.5,2.5,1,0.5,14.5
78,"Nikola Vucevic, Orl C, PFBreaking News",0.506,0.704,0,12.3,1.9,0.9,1.2,14.4
79,"Gordon Hayward, Uta SG, SFBreaking News",0.443,0.82,1.3,3.5,3.2,0.9,0.6,14.4
80,"Marc Gasol, Mem CBreaking News",0.495,0.807,0,8.2,3.7,1,1.8,14.3
81,"John Jenkins, Atl SGRecent News",0.446,0.851,1.7,2.8,1.8,0.6,0.3,14.3
82,"Danny Granger, Ind SG, SF  DTDBreaking News",0.414,0.858,1.1,4,1.4,0.8,0.5,14.3
83,"Danilo Gallinari*, Den SF, PF  O",0.417,0.837,1.6,4.6,2.2,0.8,0.4,14.3
84,"Mike Conley, Mem PG",0.44,0.822,1.2,2.8,6.2,2.1,0.3,14
85,"Andre Drummond, Det C, PFBreaking News",0.588,0.463,0.1,10.5,0.8,1.3,2.3,14
86,"Goran Dragic, Pho PGRecent News",0.446,0.75,1.1,3,6.7,1.5,0.3,14
87,"Jimmy Butler, Chi SGRecent News",0.46,0.816,1.4,5.2,2.7,1.9,0.6,14
88,"George Hill, Ind PGBreaking News",0.445,0.82,1.8,3.7,4.3,1.2,0.4,13.9
89,"Chandler Parsons, Hou SF",0.476,0.686,1.7,5.3,3.2,1.1,0.5,13.9
90,"Isaiah Thomas, Sac PGBreaking News",0.441,0.868,1.5,2.4,4.3,0.9,0.1,13.9
91,"Raymond Felton, NY PGBreaking News",0.424,0.799,1.3,2.9,6,1.4,0.2,13.8
92,"Chris Kaman, LAL C  DTDBreaking News",0.488,0.789,0,7.6,1.4,0.6,1.3,13.7
93,"Ben McLemore, Sac SG",0.42,0.796,1.4,4,2.3,1,0.3,13.7
94,"J.J. Redick, LAC SGRecent News",0.433,0.896,2,2.3,3.4,0.5,0.1,13.6
95,"Otto Porter Jr., Wsh SF",0.467,0.743,1.7,5.7,1.4,1.7,0.6,13.5
96,"Arron Afflalo, Orl SGRecent News",0.452,0.84,1.2,3.1,2.3,0.5,0.2,13.4
97,"Jameer Nelson, Orl PG  DTDRecent News",0.417,0.843,1.9,3.3,6.9,1.1,0.1,13.3
98,"Derrick Favors, Uta PF, CBreaking News",0.489,0.669,0,10,1.3,1.1,2.1,13.3
99,"Louis Williams*, Atl PG  ORecent News",0.414,0.828,1.4,2.1,3.4,1,0.2,13.2
100,"Courtney Lee, Bos SG",0.452,0.849,1.5,3,2,1.2,0.3,13.1
101,"Kawhi Leonard, SA SF, SGBreaking News",0.496,0.814,1.2,6.7,1.5,1.7,0.5,13
102,"Maurice Harkless, Orl SF",0.453,0.598,0.6,5.5,0.9,1.4,1,13
103,"Enes Kanter, Uta CRecent News",0.528,0.752,0,9,0.7,0.7,0.9,13
104,"Andre Iguodala, GS SF, SG",0.451,0.601,1.1,5.5,5.5,1.7,0.6,13
105,"Larry Sanders, Mil C, PFBreaking News",0.484,0.595,0,10.8,1.4,1,3,13
106,"Dion Waiters, Cle SGBreaking News",0.422,0.766,0.9,2.4,2.7,0.9,0.3,13
107,"Amir Johnson, Tor PFRecent News",0.56,0.751,0.1,9,1.8,1.1,1.8,12.9
108,"Jeremy Lin, Hou PGRecent News",0.442,0.786,0.9,2.9,5.8,1.6,0.3,12.9
109,"Anthony Bennett, Cle PF",0.485,0.698,0.8,7.5,1,0.5,0.8,12.9
110,"JaVale McGee, Den CBreaking News",0.564,0.56,0,7.9,0.5,0.6,2.8,12.8
